epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.93974,0.774,2.77657,1.10034,0.00479,1,0.93038,0.78345,0.60272,2.52932,0.79056,0.00034,0.00034,0.00034
2,11.2332,0.60133,1.50159,0.94534,0.97142,0.48039,0.87647,0.57503,0.85977,2.52929,1.06123,0.00068614,0.00068614,0.00068614
3,14.5761,0.64135,1.31947,0.95378,0.83643,0.60163,0.74852,0.54199,0.88191,2.19496,1.12191,0.00101802,0.00101802,0.00101802
4,17.7959,0.65404,1.25104,0.9538,0.90022,0.90196,0.94264,0.77189,0.69312,1.88588,0.87637,0.00133565,0.00133565,0.00133565
5,20.8557,0.63008,1.17446,0.94663,0.76244,0.88104,0.80551,0.6344,0.57605,1.52617,0.87386,0.00163902,0.00163902,0.00163902
6,23.961,0.64018,1.06531,0.93963,0.91388,0.96078,0.95723,0.81559,0.65822,1.4945,0.8734,0.001802,0.001802,0.001802
7,27.1081,0.63269,1.0376,0.93776,0.9237,0.94955,0.95398,0.80881,0.61986,1.183,0.86605,0.0017624,0.0017624,0.0017624
8,30.2186,0.56886,0.96138,0.93129,0.82883,0.94118,0.90891,0.80276,0.56787,1.40339,0.81352,0.0017228,0.0017228,0.0017228
9,33.2331,0.56709,0.91266,0.9147,0.93993,0.92047,0.97555,0.83936,0.54776,1.10263,0.82339,0.0016832,0.0016832,0.0016832
10,36.3138,0.55505,0.87247,0.91703,0.86944,0.97931,0.95782,0.85999,0.49819,0.70493,0.83379,0.0016436,0.0016436,0.0016436
11,39.4572,0.51687,0.82796,0.89049,0.89944,0.97059,0.97395,0.79356,0.70704,0.84306,0.85514,0.001604,0.001604,0.001604
12,42.5891,0.56473,0.82424,0.92028,0.88462,0.97721,0.96908,0.88298,0.44166,0.56934,0.76022,0.0015644,0.0015644,0.0015644
13,45.6515,0.51827,0.77331,0.90419,0.96713,0.95098,0.97451,0.89633,0.44187,0.84619,0.78665,0.0015248,0.0015248,0.0015248
14,48.7222,0.50048,0.74006,0.89362,0.89042,0.97059,0.96209,0.88263,0.45172,0.64757,0.80006,0.0014852,0.0014852,0.0014852
15,51.7977,0.47683,0.67833,0.88059,0.85536,0.81171,0.88685,0.81458,0.50334,0.95886,0.83364,0.0014456,0.0014456,0.0014456
16,54.97,0.50588,0.72013,0.89483,0.92888,0.89641,0.95662,0.86067,0.55535,0.71874,0.85802,0.001406,0.001406,0.001406
17,58.1967,0.48788,0.67333,0.90304,0.91437,0.96078,0.97937,0.90998,0.49119,0.664,0.81895,0.0013664,0.0013664,0.0013664
18,61.3178,0.46243,0.63488,0.88319,0.92601,0.98039,0.96941,0.89862,0.42864,0.53139,0.80772,0.0013268,0.0013268,0.0013268
19,64.4299,0.46506,0.65775,0.8791,0.94077,0.96078,0.97053,0.91202,0.38853,0.45384,0.78459,0.0012872,0.0012872,0.0012872
20,67.5248,0.45399,0.64722,0.8977,0.9344,0.97756,0.977,0.93053,0.36788,0.55834,0.77334,0.0012476,0.0012476,0.0012476
21,70.5942,0.46254,0.60423,0.88507,0.94618,0.96078,0.98581,0.93666,0.42557,0.45012,0.77916,0.001208,0.001208,0.001208
22,73.7002,0.43882,0.61048,0.86875,0.93618,0.96078,0.96291,0.91816,0.35455,0.57623,0.77061,0.0011684,0.0011684,0.0011684
23,76.7483,0.40785,0.55126,0.85984,0.94598,0.95098,0.98221,0.95161,0.32516,0.3856,0.76474,0.0011288,0.0011288,0.0011288
24,79.8907,0.44125,0.61228,0.88207,0.94226,0.95991,0.98549,0.93556,0.32414,0.37473,0.7586,0.0010892,0.0010892,0.0010892
25,82.9429,0.39217,0.56086,0.86992,0.96579,0.94118,0.98444,0.91179,0.38404,0.40786,0.76472,0.0010496,0.0010496,0.0010496
26,86.0002,0.38912,0.54533,0.86739,0.97569,0.92157,0.97514,0.91379,0.3235,0.43164,0.75816,0.00101,0.00101,0.00101
27,89.2294,0.41771,0.55418,0.87918,0.96927,0.93137,0.97942,0.92817,0.34989,0.42097,0.76117,0.0009704,0.0009704,0.0009704
28,92.4353,0.37462,0.52328,0.86089,0.94971,0.94118,0.9828,0.93854,0.35786,0.36724,0.76241,0.0009308,0.0009308,0.0009308
29,95.491,0.37118,0.50516,0.85857,0.92342,0.98039,0.98649,0.95655,0.32911,0.36245,0.7615,0.0008912,0.0008912,0.0008912
30,98.5756,0.39348,0.51085,0.85086,0.93383,0.97059,0.98236,0.92991,0.32743,0.33495,0.75846,0.0008516,0.0008516,0.0008516
31,101.811,0.37904,0.50432,0.86106,0.953,0.96078,0.98307,0.94139,0.29807,0.3275,0.77266,0.000812,0.000812,0.000812
32,104.942,0.34623,0.50584,0.84858,0.95606,0.97059,0.988,0.95874,0.279,0.30778,0.76553,0.0007724,0.0007724,0.0007724
33,107.994,0.3469,0.51167,0.85443,0.89723,0.9902,0.97764,0.93901,0.28596,0.35206,0.75721,0.0007328,0.0007328,0.0007328
34,111.067,0.34857,0.4673,0.85691,0.94563,0.96078,0.98526,0.95994,0.27049,0.2943,0.75005,0.0006932,0.0006932,0.0006932
35,114.15,0.33594,0.50787,0.84801,0.96084,0.94118,0.98606,0.95966,0.26625,0.2736,0.76167,0.0006536,0.0006536,0.0006536
36,117.292,0.34099,0.46986,0.85788,0.95967,0.98039,0.99032,0.96215,0.26773,0.29464,0.76492,0.000614,0.000614,0.000614
