epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,516.771,1.1121,2.60211,1.43557,0,0,0,0,nan,nan,nan,0.00062,0.00062,0.00062
2,872.376,1.25803,1.57555,1.56622,0,0,0,0,nan,nan,nan,0.00123505,0.00123505,0.00123505
3,1274.18,1.31402,1.28352,1.58514,0,0,0,0,nan,nan,nan,0.00182476,0.00182476,0.00182476
4,1769.44,1.39754,1.3722,1.64451,0,0,0,0,nan,nan,nan,0.0018812,0.0018812,0.0018812
5,2155.08,1.14853,1.07721,1.43761,0.05039,0.23853,0.01569,0.00432,3.19146,169.35,11.4152,0.0018416,0.0018416,0.0018416
6,2539.07,0.97666,0.93238,1.32245,0.25603,0.20183,0.18539,0.06456,3.34112,16.0724,3.65765,0.001802,0.001802,0.001802
7,2928.98,0.8862,0.77167,1.24919,0.60733,0.52752,0.68721,0.48296,1.18582,4.06263,1.99533,0.0017624,0.0017624,0.0017624
8,3312.2,0.80749,0.68561,1.1764,0.77683,0.7844,0.80825,0.56292,1.28793,3.95435,2.02601,0.0017228,0.0017228,0.0017228
9,3688.85,0.74862,0.61351,1.14238,0.78039,0.46789,0.60523,0.36983,1.61735,3.60112,2.40596,0.0016832,0.0016832,0.0016832
10,4072.36,0.77313,0.60602,1.15923,0.78604,0.79207,0.81425,0.61302,1.11229,2.46753,1.74327,0.0016436,0.0016436,0.0016436
11,4455.5,0.63846,0.53192,1.08148,0.80055,0.86538,0.89776,0.71885,0.98399,1.26193,1.61891,0.001604,0.001604,0.001604
12,4839.15,0.59088,0.50302,1.05934,0.93951,0.85501,0.91019,0.78687,0.80595,0.93083,1.46082,0.0015644,0.0015644,0.0015644
13,5223.31,0.57389,0.47775,1.05235,0.9204,0.84864,0.8787,0.73906,0.77421,3.5484,1.40039,0.0015248,0.0015248,0.0015248
14,5593.06,0.54815,0.45837,1.02312,0.9134,0.85321,0.89168,0.7649,0.77165,2.35847,1.41257,0.0014852,0.0014852,0.0014852
15,5975.97,0.52552,0.43614,1.00865,0.94261,0.83486,0.87658,0.7267,0.79594,3.16045,1.49577,0.0014456,0.0014456,0.0014456
16,6371.22,0.56401,0.42737,1.0127,0.89817,0.87156,0.87882,0.76305,0.74805,0.80703,1.36496,0.001406,0.001406,0.001406
17,6746.59,0.53813,0.42109,1.0067,0.86804,0.87503,0.88684,0.77966,0.73557,0.8096,1.34246,0.0013664,0.0013664,0.0013664
18,7138.82,0.49538,0.39061,0.98245,0.87147,0.90367,0.89239,0.78923,0.67605,0.79443,1.29533,0.0013268,0.0013268,0.0013268
19,7536.29,0.46394,0.36654,0.95415,0.9197,0.87615,0.90724,0.78918,0.70699,0.66297,1.31861,0.0012872,0.0012872,0.0012872
20,7916.43,0.48472,0.38516,0.96953,0.886,0.88532,0.88718,0.79784,0.62914,0.79207,1.31307,0.0012476,0.0012476,0.0012476
21,8303.83,0.43679,0.35619,0.95261,0.92708,0.87481,0.9058,0.83938,0.58703,0.68403,1.25169,0.001208,0.001208,0.001208
22,8677.02,0.44255,0.34895,0.9706,0.90013,0.88991,0.89646,0.82087,0.66408,0.78704,1.32638,0.0011684,0.0011684,0.0011684
23,9075.66,0.43901,0.35441,0.94852,0.89529,0.88073,0.8931,0.8325,0.61457,0.81782,1.29912,0.0011288,0.0011288,0.0011288
24,9465.44,0.42671,0.34158,0.93735,0.93227,0.90367,0.9061,0.84743,0.61929,0.78222,1.30539,0.0010892,0.0010892,0.0010892
25,9833.82,0.42084,0.33947,0.95338,0.8946,0.86697,0.89163,0.82742,0.6165,0.82966,1.29364,0.0010496,0.0010496,0.0010496
26,10229.7,0.3905,0.31685,0.92585,0.76432,0.84798,0.84662,0.74463,0.71397,0.9425,1.40948,0.00101,0.00101,0.00101
27,10621.1,0.37972,0.31721,0.92153,0.91789,0.89908,0.91812,0.88246,0.49819,0.72712,1.18826,0.0009704,0.0009704,0.0009704
28,11027.3,0.37259,0.30666,0.92031,0.91296,0.86602,0.90319,0.8625,0.55002,0.78377,1.23008,0.0009308,0.0009308,0.0009308
29,11689.3,0.3573,0.28704,0.90943,0.92856,0.89438,0.90663,0.85851,0.48732,0.67532,1.16591,0.0008912,0.0008912,0.0008912
30,12117.5,0.35327,0.29778,0.90568,0.92476,0.90203,0.90464,0.86709,0.46056,0.65057,1.1578,0.0008516,0.0008516,0.0008516
31,12515.1,0.35758,0.29166,0.90896,0.90757,0.85575,0.85936,0.80498,0.57702,0.91545,1.26018,0.000812,0.000812,0.000812
32,12925.2,0.33599,0.27023,0.89952,0.92407,0.89317,0.91956,0.8889,0.46223,0.67217,1.17123,0.0007724,0.0007724,0.0007724
33,13338.5,0.3251,0.27261,0.89438,0.92853,0.89396,0.92318,0.88326,0.47609,0.62027,1.17699,0.0007328,0.0007328,0.0007328
34,13758.7,0.32384,0.26802,0.90554,0.93785,0.90367,0.92228,0.88839,0.47368,0.58866,1.2038,0.0006932,0.0006932,0.0006932
35,14165.2,0.32867,0.27562,0.90572,0.9182,0.88991,0.92415,0.88191,0.49992,0.66746,1.24103,0.0006536,0.0006536,0.0006536
36,14566.3,0.31803,0.25907,0.89038,0.90779,0.88532,0.91865,0.88873,0.44824,0.66691,1.15731,0.000614,0.000614,0.000614
37,14957.9,0.30647,0.26534,0.8779,0.9275,0.88026,0.90581,0.87346,0.41581,0.63493,1.11458,0.0005744,0.0005744,0.0005744
38,15349.2,0.29823,0.24992,0.88697,0.93314,0.89625,0.92383,0.89364,0.38915,0.53175,1.09695,0.0005348,0.0005348,0.0005348
39,15718,0.2958,0.2507,0.87582,0.9262,0.88991,0.92345,0.89895,0.39535,0.58437,1.11285,0.0004952,0.0004952,0.0004952
40,16091.4,0.27722,0.23021,0.86848,0.91888,0.88073,0.91374,0.88544,0.427,0.67505,1.18085,0.0004556,0.0004556,0.0004556
41,16614.6,0.23419,0.22013,0.85064,0.93617,0.88991,0.90263,0.86454,0.42782,0.5676,1.15465,0.000416,0.000416,0.000416
42,17002.5,0.2143,0.19651,0.83789,0.93229,0.88429,0.90463,0.87026,0.41338,0.50373,1.11074,0.0003764,0.0003764,0.0003764
43,17390.1,0.2147,0.19125,0.83411,0.91031,0.90826,0.90158,0.87054,0.39303,0.50079,1.09845,0.0003368,0.0003368,0.0003368
44,17771.8,0.21199,0.19313,0.84327,0.91359,0.8945,0.90963,0.88311,0.36541,0.60726,1.10175,0.0002972,0.0002972,0.0002972
45,18142.7,0.22206,0.19271,0.84956,0.92424,0.89543,0.92089,0.89902,0.36267,0.66174,1.08275,0.0002576,0.0002576,0.0002576
46,18655.3,0.20142,0.18529,0.82047,0.93749,0.89427,0.9248,0.89806,0.37516,0.55172,1.11495,0.000218,0.000218,0.000218
47,19185.8,0.20261,0.17814,0.82441,0.93327,0.89811,0.92402,0.89109,0.37679,0.5647,1.11405,0.0001784,0.0001784,0.0001784
48,19588.7,0.18342,0.17508,0.82578,0.92866,0.89576,0.92444,0.89246,0.37084,0.56183,1.11932,0.0001388,0.0001388,0.0001388
49,20037.3,0.1919,0.17133,0.82155,0.93309,0.89551,0.92657,0.89743,0.36547,0.54052,1.11106,9.92e-05,9.92e-05,9.92e-05
50,20469,0.18404,0.17013,0.82085,0.92062,0.90441,0.92348,0.8952,0.3754,0.54398,1.12162,5.96e-05,5.96e-05,5.96e-05
