epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.66889,0.82222,2.60356,1.15652,1,0.37129,0.8714,0.74218,0.62016,2.34336,0.8193,0.00034,0.00034,0.00034
2,10.2197,0.63439,1.32415,0.94164,0.85646,0.64349,0.9277,0.81822,0.57504,1.86828,0.82219,0.00068614,0.00068614,0.00068614
3,13.314,0.64484,1.24945,0.94767,0.88269,0.88528,0.95082,0.84235,0.61111,1.91889,0.86928,0.00101802,0.00101802,0.00101802
4,16.2849,0.60406,1.12412,0.93337,0.67293,0.9279,0.82706,0.61389,0.75415,1.75903,0.89292,0.00133565,0.00133565,0.00133565
5,19.1945,0.61877,1.09813,0.94553,0.64488,0.85456,0.86541,0.7228,0.68465,1.66544,0.88792,0.00163902,0.00163902,0.00163902
6,22.1582,0.65462,1.02484,0.95748,0.87967,0.89216,0.9435,0.8146,0.70257,1.87285,0.87008,0.001802,0.001802,0.001802
7,25.0457,0.63874,1.00492,0.94056,0.89378,0.95098,0.96418,0.81392,0.67676,1.25664,0.85099,0.0017624,0.0017624,0.0017624
8,27.9357,0.59797,0.92713,0.93343,0.91652,0.98039,0.95058,0.84228,0.52467,1.2341,0.80884,0.0017228,0.0017228,0.0017228
9,30.8058,0.60026,0.86309,0.92809,0.91685,0.9902,0.95903,0.83722,0.55801,0.93444,0.79524,0.0016832,0.0016832,0.0016832
10,33.6984,0.56833,0.83873,0.93035,0.86676,0.96078,0.93729,0.81686,0.56788,0.76705,0.81645,0.0016436,0.0016436,0.0016436
11,36.6727,0.54342,0.77708,0.89937,0.85036,0.94716,0.92965,0.81906,0.52106,0.74526,0.82691,0.001604,0.001604,0.001604
12,39.5824,0.57956,0.78307,0.92422,0.88475,0.97059,0.94758,0.86902,0.45349,0.54384,0.7857,0.0015644,0.0015644,0.0015644
13,42.4451,0.55172,0.71889,0.9172,0.96029,0.94846,0.96561,0.88512,0.47037,0.66685,0.79102,0.0015248,0.0015248,0.0015248
14,45.3475,0.53031,0.68665,0.90465,0.91454,0.96078,0.9674,0.88559,0.43182,0.58185,0.79681,0.0014852,0.0014852,0.0014852
15,48.2855,0.52293,0.65316,0.89444,0.93944,0.9125,0.97478,0.88483,0.47141,0.73176,0.80384,0.0014456,0.0014456,0.0014456
16,51.2404,0.55486,0.70194,0.90988,0.93379,0.96793,0.97858,0.86951,0.50929,0.48093,0.83762,0.001406,0.001406,0.001406
17,54.0868,0.51137,0.64796,0.90902,0.95776,0.98039,0.98184,0.90036,0.47663,0.48696,0.78943,0.0013664,0.0013664,0.0013664
18,57.044,0.4781,0.6137,0.89558,0.92479,0.96445,0.97397,0.87911,0.39222,0.56368,0.75721,0.0013268,0.0013268,0.0013268
19,59.9436,0.48297,0.61303,0.87572,0.91479,0.97059,0.96673,0.87955,0.42595,0.52109,0.79158,0.0012872,0.0012872,0.0012872
20,62.855,0.46529,0.61926,0.89324,0.96393,0.96078,0.98928,0.92769,0.43757,0.43082,0.77268,0.0012476,0.0012476,0.0012476
21,65.7077,0.46803,0.59845,0.88931,0.94295,0.95098,0.98417,0.93159,0.40323,0.42379,0.77563,0.001208,0.001208,0.001208
22,68.837,0.4451,0.58179,0.87752,0.96394,0.96078,0.98369,0.93307,0.35638,0.47771,0.78145,0.0011684,0.0011684,0.0011684
23,71.7606,0.42264,0.53046,0.86527,0.92796,0.97059,0.98022,0.92147,0.39906,0.3917,0.77095,0.0011288,0.0011288,0.0011288
24,74.6262,0.44231,0.59657,0.87853,0.96114,0.96993,0.97907,0.92685,0.33486,0.39682,0.76279,0.0010892,0.0010892,0.0010892
25,77.4636,0.39898,0.53943,0.87422,0.94732,0.97059,0.98208,0.946,0.33242,0.38992,0.75924,0.0010496,0.0010496,0.0010496
26,80.3273,0.39752,0.51686,0.86612,0.95992,0.93923,0.98525,0.94422,0.32347,0.35511,0.75756,0.00101,0.00101,0.00101
27,83.1999,0.42647,0.54254,0.87864,0.92305,0.98039,0.98779,0.94007,0.36435,0.3514,0.76257,0.0009704,0.0009704,0.0009704
28,86.1238,0.40192,0.515,0.8709,0.94177,0.96078,0.98896,0.94401,0.32994,0.39151,0.7487,0.0009308,0.0009308,0.0009308
29,88.9339,0.38873,0.51442,0.86368,0.96111,0.96917,0.98972,0.9582,0.3208,0.33596,0.7503,0.0008912,0.0008912,0.0008912
30,91.8306,0.40854,0.49613,0.85997,0.97903,0.93137,0.98779,0.9544,0.3096,0.36605,0.74748,0.0008516,0.0008516,0.0008516
31,94.7188,0.38272,0.4843,0.86657,0.96108,0.96831,0.98906,0.96172,0.30806,0.32698,0.74648,0.000812,0.000812,0.000812
32,97.6659,0.35748,0.46871,0.8516,0.95238,0.98035,0.98968,0.95798,0.32096,0.30229,0.74203,0.0007724,0.0007724,0.0007724
