epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,505.95,0.7171,3.03313,1.17388,0.23149,0.78899,0.20298,0.12019,nan,nan,nan,0.0003,0.0003,0.0003
2,857.332,0.57421,0.8384,1.01337,0.0023,0.26606,0.00142,0.00064,nan,nan,nan,0.000607724,0.000607724,0.000607724
3,1875.54,0.63593,0.71123,1.06116,0,0,0,0,nan,nan,nan,0.000902776,0.000902776,0.000902776
4,2275.62,0.61918,0.61762,1.04092,0.00054,0.00459,0.00027,5e-05,nan,nan,nan,0.00118516,0.00118516,0.00118516
5,3475.66,0.58888,0.55737,1.00617,0.01168,0.09633,0.00641,0.00228,nan,nan,nan,0.00145486,0.00145486,0.00145486
6,3762.85,0.55535,0.53387,0.99738,0.01147,0.06881,0.00436,0.00181,3.86505,335.291,6.18866,0.0017119,0.0017119,0.0017119
7,3996.56,0.54873,0.51085,0.98468,0.16049,0.52752,0.20476,0.09714,1.80631,18.7302,2.88919,0.0017624,0.0017624,0.0017624
8,4210.33,0.572,0.47781,0.99504,0.34167,0.66423,0.58694,0.45494,0.93672,8.45155,1.57792,0.0017228,0.0017228,0.0017228
9,4438.93,0.51013,0.43155,0.96279,0.84965,0.88073,0.88647,0.74165,0.77359,2.09637,1.56861,0.0016832,0.0016832,0.0016832
10,4666.58,0.45145,0.37726,0.94526,0.76585,0.76606,0.79035,0.6037,0.94604,1.85342,1.65425,0.0016436,0.0016436,0.0016436
11,4892.28,0.46021,0.38475,0.94644,0.5466,0.41284,0.4202,0.30675,1.37769,2.52469,1.99689,0.001604,0.001604,0.001604
12,5102.3,0.4481,0.38199,0.94697,0.90089,0.87156,0.87074,0.76462,0.57064,2.59056,1.22681,0.0015644,0.0015644,0.0015644
13,5306.88,0.46707,0.37724,0.94239,0.90323,0.85627,0.87307,0.79421,0.58331,1.03796,1.2791,0.0015248,0.0015248,0.0015248
14,5555.85,0.43445,0.34736,0.92997,0.89603,0.84404,0.86911,0.73467,0.67888,0.94192,1.29656,0.0014852,0.0014852,0.0014852
15,5764.97,0.38133,0.31333,0.9043,0.87186,0.84271,0.86851,0.75706,0.61831,0.86949,1.24023,0.0014456,0.0014456,0.0014456
16,5985,0.38791,0.31015,0.90019,0.89075,0.86018,0.88202,0.80063,0.52347,0.7677,1.18734,0.001406,0.001406,0.001406
17,6156.34,0.36951,0.30933,0.89804,0.87643,0.84588,0.83098,0.77353,0.49933,0.84308,1.12322,0.0013664,0.0013664,0.0013664
18,6375.82,0.36468,0.30042,0.89712,0.92825,0.89908,0.91061,0.85384,0.43826,0.60209,1.05462,0.0013268,0.0013268,0.0013268
19,6584.76,0.37113,0.30087,0.89504,0.91447,0.88532,0.89838,0.83951,0.52612,0.82701,1.19423,0.0012872,0.0012872,0.0012872
20,6775.84,0.35429,0.29959,0.88651,0.67883,0.68807,0.69121,0.59124,0.77813,1.47779,1.41045,0.0012476,0.0012476,0.0012476
21,6992.96,0.34677,0.28004,0.89607,0.91707,0.90367,0.89759,0.84828,0.44385,0.59884,1.08683,0.001208,0.001208,0.001208
22,7213.97,0.31762,0.26028,0.88325,0.92805,0.88746,0.91668,0.86845,0.49048,0.55822,1.13403,0.0011684,0.0011684,0.0011684
23,7436.08,0.31969,0.26145,0.88469,0.91943,0.88984,0.90165,0.83636,0.49368,0.68103,1.2142,0.0011288,0.0011288,0.0011288
24,7660.47,0.30219,0.24601,0.87556,0.89219,0.8731,0.8989,0.83613,0.4419,0.66335,1.12788,0.0010892,0.0010892,0.0010892
25,7859.12,0.30961,0.25718,0.87091,0.9005,0.88073,0.92752,0.87193,0.39095,0.5219,1.06577,0.0010496,0.0010496,0.0010496
26,8125.75,0.29714,0.23204,0.86524,0.91062,0.90367,0.9098,0.87461,0.39694,0.69324,1.08478,0.00101,0.00101,0.00101
27,8385.44,0.29603,0.236,0.86414,0.91067,0.8945,0.91941,0.88835,0.37599,0.64876,1.0508,0.0009704,0.0009704,0.0009704
28,8658.41,0.29816,0.23616,0.86553,0.90877,0.88532,0.90757,0.86833,0.39857,0.71208,1.08894,0.0009308,0.0009308,0.0009308
29,8900.59,0.28785,0.22764,0.85531,0.90846,0.88991,0.88344,0.83912,0.41917,0.60761,1.06192,0.0008912,0.0008912,0.0008912
30,9112.69,0.285,0.22174,0.85325,0.9164,0.90511,0.91517,0.88467,0.39573,0.56353,1.06306,0.0008516,0.0008516,0.0008516
31,9342.47,0.27713,0.22246,0.86213,0.93061,0.87156,0.91255,0.8769,0.3678,0.59258,1.06996,0.000812,0.000812,0.000812
32,9546.45,0.27633,0.21557,0.85713,0.90922,0.87297,0.8873,0.86276,0.34973,0.624,1.01629,0.0007724,0.0007724,0.0007724
33,9744.18,0.27098,0.22401,0.85379,0.92434,0.90367,0.91295,0.88837,0.32086,0.57767,1.03284,0.0007328,0.0007328,0.0007328
34,9948.25,0.26492,0.20818,0.85805,0.92451,0.89887,0.90513,0.88003,0.302,0.59831,1.01442,0.0006932,0.0006932,0.0006932
35,10147.3,0.27282,0.2226,0.8638,0.91629,0.90374,0.93009,0.90032,0.3046,0.49029,0.97846,0.0006536,0.0006536,0.0006536
36,10333.2,0.27021,0.21275,0.86577,0.92509,0.90639,0.89526,0.86489,0.3206,0.53952,1.00557,0.000614,0.000614,0.000614
37,10541.9,0.25282,0.20416,0.85251,0.9292,0.89908,0.91947,0.89678,0.33445,0.53872,1.02944,0.0005744,0.0005744,0.0005744
38,10735.4,0.25698,0.20686,0.85822,0.92537,0.87615,0.92381,0.89978,0.35814,0.53525,1.04999,0.0005348,0.0005348,0.0005348
39,11367.9,0.24631,0.19081,0.8428,0.87859,0.90367,0.91357,0.88893,0.35774,0.5457,1.05648,0.0004952,0.0004952,0.0004952
40,11580.4,0.24513,0.18934,0.84899,0.87275,0.91239,0.90785,0.88325,0.32008,0.53601,1.03107,0.0004556,0.0004556,0.0004556
41,11839.1,0.18015,0.1674,0.82257,0.91245,0.8945,0.90697,0.88226,0.31305,0.46097,0.98617,0.000416,0.000416,0.000416
42,12073.9,0.18762,0.15771,0.83326,0.91948,0.89054,0.91445,0.89262,0.33199,0.46511,1.01321,0.0003764,0.0003764,0.0003764
43,12295,0.18522,0.16135,0.82603,0.91881,0.90367,0.91582,0.88895,0.34167,0.49282,1.01571,0.0003368,0.0003368,0.0003368
